userId,name,상의,아우터,하의,신발,액세서리,작성일,체중,키,스타일,비고,이미지
12,nyeong_ootd,"반팔 티, 셔츠/블라우스",재킷,면바지,구두/로퍼,,2023년 11월 30일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"맨투맨, 반팔 티",,면바지,스니커즈/캔버스,,2023년 12월 1일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"니트, 반팔 티",패딩조끼,데님팬츠,스니커즈/캔버스,,2023년 12월 2일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"니트, 반팔 티",,면바지,스니커즈/캔버스,,2023년 12월 4일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"맨투맨, 셔츠/블라우스",,면바지,구두/로퍼,,2023년 12월 5일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"반팔 티, 셔츠/블라우스","재킷, 집업",면바지,스니커즈/캔버스,,2023년 12월 6일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,긴팔 티,재킷,면바지,구두/로퍼,,2023년 12월 7일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"니트, 반팔 티",패딩조끼,데님팬츠,스니커즈/캔버스,,2023년 12월 8일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"긴팔 티, 반팔 티",재킷,면바지,구두/로퍼,,2023년 12월 9일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"맨투맨, 반팔 티",집업,면바지,스니커즈/캔버스,,2023년 12월 12일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"니트, 반팔 티",코트,면바지,스니커즈/캔버스,,2023년 12월 13일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"반팔 티, 셔츠/블라우스",가디건,면바지,스니커즈/캔버스,,2023년 12월 14일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"긴팔 티, 니트",코트,데님팬츠,구두/로퍼,머플러,2023년 12월 19일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,긴팔 티,재킷,면바지,구두/로퍼,머플러,2023년 12월 24일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"니트, 반팔 티",재킷,면바지,구두/로퍼,,2023년 12월 26일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"맨투맨, 반팔 티",,면바지,스니커즈/캔버스,,2023년 12월 27일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"반팔 티, 셔츠/블라우스","가디건, 코트",데님팬츠,스니커즈/캔버스,,2023년 12월 28일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"니트, 반팔 티",재킷,데님팬츠,스니커즈/캔버스,,2023년 12월 29일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"반팔 티, 후드티",패딩조끼,데님팬츠,스니커즈/캔버스,,2023년 12월 30일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"긴팔 티, 맨투맨",패딩조끼,트레이닝/조거 팬츠,구두/로퍼,,2024년 1월 3일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,긴팔 티,가디건,면바지,구두/로퍼,,2024년 1월 6일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,긴팔 티,"가디건, 재킷",면바지,구두/로퍼,,2024년 1월 20일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,니트,가디건,데님팬츠,구두/로퍼,,2024년 1월 30일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,긴팔 티,집업,면바지,스니커즈/캔버스,,2024년 2월 2일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,긴팔 티,"재킷, 코트",데님팬츠,구두/로퍼,,2024년 2월 8일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"반팔 티, 셔츠/블라우스",집업,면바지,구두/로퍼,,2024년 2월 15일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,긴팔 티,"가디건, 재킷",면바지,구두/로퍼,,2024년 2월 16일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"니트, 반팔 티",점퍼,면바지,스니커즈/캔버스,,2024년 2월 20일,70,179,"미니멀, 캐주얼",,
12,nyeong_ootd,"니트, 반팔 티",재킷,데님팬츠,스니커즈/캔버스,,2024년 2월 22일,70,179,"미니멀, 캐주얼",,
