userId,name,상의,아우터,하의,신발,액세서리,작성일,체중,키,스타일,비고,이미지
13,seooo_mj,반팔 티,,데님팬츠,스니커즈/캔버스,기타 모자,2023년 7월 21일,70,174,캐주얼,,
13,seooo_mj,"반팔 셔츠/블라우스, 반팔 티",,데님팬츠,스니커즈/캔버스,,2023년 8월 2일,70,174,캐주얼,,
13,seooo_mj,반팔 티,,반바지,스니커즈/캔버스,"기타 모자, 장목양말",2023년 8월 6일,70,174,캐주얼,,
13,seooo_mj,반팔 티,,데님팬츠,구두/로퍼,,2023년 8월 8일,70,174,캐주얼,,
13,seooo_mj,반팔 티,,트레이닝/조거 팬츠,스니커즈/캔버스,,2023년 8월 11일,70,174,캐주얼,,
13,seooo_mj,반팔 티,,데님팬츠,샌들/슬리퍼,,2023년 8월 20일,70,174,캐주얼,,
13,seooo_mj,반팔 티,,데님팬츠,구두/로퍼,,2023년 9월 22일,70,174,캐주얼,,
13,seooo_mj,반팔 티,,반바지,스니커즈/캔버스,장목양말,2023년 10월 13일,70,174,캐주얼,,
13,seooo_mj,반팔 티,재킷,나일론 팬츠,스니커즈/캔버스,,2023년 10월 27일,70,174,캐주얼,,
13,seooo_mj,긴팔 티,재킷,데님팬츠,구두/로퍼,,2023년 11월 3일,70,174,캐주얼,,
13,seooo_mj,"니트, 반팔 티",재킷,데님팬츠,구두/로퍼,,2023년 11월 26일,70,174,캐주얼,,
13,seooo_mj,"니트, 반팔 티",코트,카고바지,스니커즈/캔버스,,2023년 12월 13일,70,174,캐주얼,,
13,seooo_mj,긴팔 티,점퍼,데님팬츠,운동화,,2023년 12월 29일,70,174,캐주얼,,
13,seooo_mj,긴팔 티,재킷,데님팬츠,구두/로퍼,,2024년 1월 15일,70,174,캐주얼,,
13,seooo_mj,긴팔 티,재킷,면바지,구두/로퍼,,2024년 1월 22일,70,174,캐주얼,,
13,seooo_mj,"반팔 티, 셔츠/블라우스",재킷,면바지,운동화,,2024년 3월 13일,70,174,캐주얼,,
13,seooo_mj,"반팔 티, 셔츠/블라우스",재킷,데님팬츠,구두/로퍼,,2024년 4월 3일,70,174,캐주얼,,
13,seooo_mj,"맨투맨, 반팔 티, 셔츠/블라우스",,데님팬츠,스니커즈/캔버스,,2024년 4월 15일,70,174,캐주얼,,
13,seooo_mj,반팔 티,재킷,데님팬츠,스니커즈/캔버스,,2024년 4월 25일,70,174,캐주얼,,
